design-number,name
169185,Shuttle Commemorative 1981-2011  (Back Patch)
i3841,Shuttle Collage (Back Patch)
107655,Columbia Collage  (Back Patch)
,
MH9113,Expedition 1
MH9193,Expedition 2
MH9639,Expedition 3
M10089,Expedition 4
100777,Expedition 5
101837,Expedition 6
105818,Expedition 7
101843,Expedition 8
101846,Expedition 9
101849,Expedition 10
101852,Expedition 11
101855,Expedition 12
125173,Expedition 13
101861,Expedition 14
129504,Expedition 15 (No Name)
128498,Expedition 15 (1st Crew)
130586,Expedition 15 (2nd Crew)
129882,Expedition 16
139543,Expedition 17 (No Name)
135923,Expedition 17 (1st Crew)
135924,Expedition 17 (2nd Crew)
141639,Expedition 18
144028,Expedition 19
146921,Expedition 20
147120,Expedition 21
148241,Expedition 22
159391,Expedition 23
156541,Expedition 24 (No Name)
159215,Expedition 24 (Names)
161015,Expedition 25
163963,Expedition 26
169174,Expedition 27
171113,Expedition 28
171517,Expedition 29
174586,Expedition 30
180631,Expedition 31
180683,Expedition 32
187592,Expedition 33
188641,Expedition 34
178084,Expedition 35
182346,Expedition 36 (1st Version Limited Edition)
201075,Expedition 36 (Official Version)
192166,Expedition 37 (1st version limited edition)
200033,Expedition 37 (Official Version)
204271,Expedition 38
198703,Expedition 39
212904,Expedition 40
211609,Expedition 41
212626,Expedition 42
217945,Expedition 43
233019,Expedition 44
235987,Expedition 45
235638,Expedition 46 (1st Version Limited Edition)
235564,Commemorative Expedition One-Year Mission
239138,Int'l Space Station Nations 2012 (Round)
71890,Int'l Space Station  3” x  4”
i4553,Int’l Space Station  4” x 2”
i4552,Int’l Space Station (Back Patch)
241201,SpaceX CRS-5
241627,SpaceX CRS-6
247038,SpaceX CRS-7
247553,SpaceX CRS-8
,
6506,NASA Original   (Meatball)
12564,NASA w/Vector (Official)
71508,NASA w/Vector (Souvenir)
41424,NASA w/Vector (Back Patch)
i4551,NASA w/Vector (Jumbo Back Patch)
28403,NASA Worm Red on White
28403A,NASA Worm Gold on Black
57847,NASA Worm Fully Embroidered
44263,NASA Ariane Esa
44262,NASA Esa
38264,NASA Spacelab Esa
114350,NASA Exploration
71487,Apollo/Saturn V Center
56332,Teacher in Space
65509,Freedom
65465,Hubble Space Telescope
29937,Project Viking
22949,You've come a long way
MH6830,Mars Pathfinder
202977,Curiosity Rover
i3753,Mission Operations
i3754,Voyager
i3755,U.S. Space Command
i3756,Shuttle Chase Team
i3757,MMU
66160,NASP X-30
i8553,NASA Talon T-38N
i8554,Weightless Wonder
i3847,John Glenn Commemorative
i4554,John Glenn Commemorative #2
i4556,Alan Shepard Commemorative
i8545,RSC Star City Crew
i8558,Buran
i8557,Japan Space Agency
i8560,China Space Council
i8551,French Space Agency
i8552,Russian Space Agency
236234,Canadian Space Agency
i9611,European Space Agency - EESA
i8559,Shuttle Mir Program
i8546,Mir 18 Primary Crew
i8547,Mir 24 Mission
i8548,Starman Russia
i8549,Bonnie Dunmar Mir 18 Back
i8550,Astrocosmonaut Thagard
i8555,Mir Space Station
i8556,Mir 21 Primary Crew
i8738,MIR 28
67376,Association of Space Explorers
100067,PKK Energia
i8737,Mission Control
234099,Flight Crew Operations
245452,Flight Operations 2014
108241,Astronaut Memorial
130358,Orion
197258,Orion EFT
130359,Constellation
130360,EVA Systems
106885,EVA The Vitruvian Man
130361,Ares
133451,Ares I-X
143830,Altair
194697,The Final Mission
192448,American Flag
i8544,Russian Flag
169471,Japanese Flag
236229,French Flag
236226,Chinese Flag
100042,Canadian Flag
,
27,Maiden Flight Set (5 patches)
10,Skylab Set (4 patches)
40,Mission Program Set (5 patches)
7,Mercury Set (7 patches)
6,Gemini Set (11 patches)
20754,Apollo Set (12 patches)
23,Challenger Set (10 patches)
16,Columbia Set (10 patches)
Glenn,John Glenn Set (3 patches)
13,"Columbia 4""Set (3 patches)"
9,Fallen Heroes Set (3 patches)
173390,Gemini Authentic Reproductions (8 patches)
176824,Last Mission Set (6 patches)
